response_id,timestamp,entered_study_id,consent,duration_sec,LCU1_T1,LCU2_T1,LCU3_T1,LCU4_T1,LCU5_T1,LCU6_T1,SRL1_T1,SRL2_T1,SRL3_T1,SRL4_T1,SRL5_T1,SRL6_T1,synthetic_flag
T1R-0079,2026-04-30 15:45:42,ALG26-082,동의함,99,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,1
T1R-0039,2026-04-30 15:47:16,ALG26-040,동의함,258,그렇지 않다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,매우 그렇다,1
T1R-0115,2026-04-30 16:26:21,ALG26-118,동의함,187,그렇지 않다,보통이다,그렇다,보통이다,그렇다,보통이다,전혀 그렇지 않다,그렇다,그렇지 않다,전혀 그렇지 않다,보통이다,그렇지 않다,1
T1R-0163,2026-04-30 17:07:27,ALG26-167,동의함,86,그렇지 않다,그렇지 않다,보통이다,그렇다,그렇지 않다,보통이다,매우 그렇다,보통이다,그렇다,그렇다,그렇지 않다,보통이다,1
T1R-0067,2026-04-30 17:44:24,ALG26-068,동의함,97,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,1
T1R-0139,2026-04-30 18:29:17,ALG26-143,동의함,90,그렇지 않다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇다,보통이다,그렇다,보통이다,보통이다,1
T1R-0152,2026-04-30 18:30:21,ALG26-156,동의함,369,보통이다,그렇지 않다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,1
T1R-0179,2026-04-30 18:41:35,ALG26-184,동의함,287,보통이다,보통이다,보통이다,보통이다,매우 그렇다,그렇다,전혀 그렇지 않다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,1
T1R-0168,2026-04-30 18:44:50,ALG26-172,동의함,200,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,보통이다,매우 그렇다,보통이다,보통이다,보통이다,매우 그렇다,그렇지 않다,1
T1R-0072,2026-04-30 18:54:35,ALG26-074,동의함,159,그렇다,그렇다,그렇지 않다,보통이다,그렇다,전혀 그렇지 않다,보통이다,보통이다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,보통이다,1
T1R-0074,2026-04-30 19:05:22,ALG26-076,동의함,170,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,전혀 그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,보통이다,1
T1D-0001,2026-04-30 19:16:43,ALG26-001,동의함,52,,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,,보통이다,그렇다,그렇지 않다,,1
T1R-0027,2026-04-30 19:28:05,ALG26-028,동의함,161,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,그렇다,매우 그렇다,1
T1R-0138,2026-04-30 20:44:41,ALG26-142,동의함,287,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,1
T1R-0013,2026-04-30 21:10:54,ALG26-014,동의함,185,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,보통이다,1
T1R-0001,2026-04-30 21:16:43,ALG26-001,동의함,154,보통이다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,1
T1R-0145,2026-04-30 21:20:10,ALG26-149,동의함,82,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,전혀 그렇지 않다,그렇지 않다,그렇다,그렇지 않다,그렇다,보통이다,1
T1R-0041,2026-04-30 22:22:44,ALG26-042,동의함,164,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,보통이다,1
T1D-0003,2026-04-30 23:16:18,ALG26-004,동의함,66,그렇다,매우 그렇다,,그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇지 않다,,보통이다,보통이다,1
T1R-0055,2026-05-01 00:12:09,ALG26-056,동의함,376,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,1
T1R-0113,2026-05-01 00:43:54,ALG26-116,동의함,228,그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,그렇다,그렇다,보통이다,그렇지 않다,1
T1R-0021,2026-05-01 00:50:06,ALG26-022,동의함,225,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,1
T1R-0078,2026-05-01 02:20:50,ALG26-081,동의함,463,그렇다,매우 그렇다,보통이다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,보통이다,매우 그렇다,그렇다,1
T1R-0006,2026-05-01 02:43:13, ALG26-007 ,동의함,44,그렇다,보통이다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,매우 그렇다,매우 그렇다,1
T1R-0173,2026-05-01 03:04:41,ALG26-178,동의함,255,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,1
T1R-0003,2026-05-01 03:16:18,ALG26-004,동의함,187,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,1
T1R-0033,2026-05-01 03:43:35,ALG26-034,동의함,136,그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇지 않다,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇지 않다,1
T1R-0116,2026-05-01 04:33:16,ALG26-119,동의함,161,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,1
T1R-0036,2026-05-01 04:55:53,ALG26-037,동의함,207,보통이다,보통이다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,보통이다,1
T1R-0121,2026-05-01 04:59:33,ALG26-125,동의함,150,매우 그렇다,매우 그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,1
T1R-0166,2026-05-01 06:18:51,ALG26-170,동의함,169,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,1
T1R-0054,2026-05-01 07:24:56,ALG26-055,동의함,101,매우 그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,그렇다,보통이다,1
T1R-0022,2026-05-01 07:51:37,ALG26-023,동의함,254,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,1
T1R-0147,2026-05-01 08:30:00,ALG26-151,동의함,138,그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,보통이다,그렇지 않다,보통이다,그렇지 않다,보통이다,1
T1R-0087,2026-05-01 08:31:54,ALG26-090,동의함,104,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,1
T1R-0059,2026-05-01 08:49:07,ALG26-060,동의함,251,그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,그렇다,보통이다,1
T1R-0043,2026-05-01 09:00:45,ALG26-044,동의함,124,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T1R-0092,2026-05-01 09:48:05,ALG26-095,동의함,401,보통이다,그렇다,그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,1
T1R-0149,2026-05-01 09:58:21,ALG26-153,동의함,108,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,1
T1R-0029,2026-05-01 10:42:22,ALG26-030,동의함,205,,보통이다,,그렇지 않다,보통이다,,,그렇지 않다,,그렇지 않다,,보통이다,1
T1R-0088,2026-05-01 11:16:29,ALG26-091,동의함,249,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,보통이다,1
T1R-0086,2026-05-01 11:41:39,ALG26-089,동의함,196,보통이다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,그렇다,보통이다,보통이다,보통이다,그렇다,그렇지 않다,1
T1R-0135,2026-05-01 14:03:04,ALG26-139,동의함,190,보통이다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,그렇지 않다,전혀 그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇다,1
T1R-0141,2026-05-01 15:22:38,ALG26-145,동의함,114,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,1
T1R-0025,2026-05-01 15:47:04,ALG26-026,동의하지 않음,360,,,,,,,,,,,,,1
T1R-0057,2026-05-01 16:36:47,ALG26-058,동의함,277,보통이다,그렇다,그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,그렇다,1
T1R-0156,2026-05-01 17:30:12,ALG26-160,동의함,190,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T1R-0093,2026-05-01 18:33:41,ALG26-096,동의함,130,보통이다,그렇다,보통이다,그렇다,그렇지 않다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,1
T1R-0052,2026-05-01 18:42:04,ALG26-053,동의함,87,그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,1
T1R-0127,2026-05-01 21:02:10,ALG26-131,동의함,130,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,1
T1R-0130,2026-05-01 21:42:02,ALG26-134,동의함,119,보통이다,그렇다,그렇지 않다,그렇다,그렇지 않다,그렇지 않다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,1
T1R-0056,2026-05-01 21:51:31,ALG26-057,동의함,313,그렇다,보통이다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T1R-0110,2026-05-01 22:16:25,ALG26-113,동의하지 않음,101,,,,,,,,,,,,,1
T1R-0118,2026-05-01 22:25:21,ALG26-121,동의함,287,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,보통이다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,1
T1R-0123,2026-05-01 22:41:35,ALG26-127,동의함,314,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,1
